ZCTA	ghi
75142	4.896
75143	4.92
75144	4.896
75146	4.896
75147	4.92
75148	4.896
75149	4.896
75150	4.896
75152	4.92
75153	4.968
75154	4.9440002
75155	4.92
75156	4.92
75157	4.896
70464	4.848
75158	4.896
70465	4.848
80476	4.704
80477	4.44
80478	4.752
70466	4.848
80479	4.488
75159	4.872
70471	4.9440002
80480	4.6559997
80481	4.488
75160	4.872
80482	4.632
80483	4.584
70501	4.872
42044	4.368
48506	3.912
42045	4.416
42047	4.44
42048	4.4639997
42049	4.488
48507	3.936
42050	4.5360003
42051	4.488
48509	3.912
48519	3.912
48529	3.936
42053	4.4639997
42054	4.488
48532	3.96
48551	3.936
48553	3.912
48554	3.912
27201	4.584
27203	4.6080003
27205	4.632
27207	4.6080003
27208	4.632
27209	4.68
27212	4.5360003
27214	4.56
27215	4.584
27217	4.584
27229	4.68
27231	4.584
27233	4.6080003
27235	4.584
27239	4.632
27242	4.632
27243	4.584
27244	4.584
27248	4.6080003
27249	4.584
27252	4.6080003
27253	4.584
27258	4.56
27260	4.584
27262	4.632
27263	4.584
27265	4.584
27278	4.584
27281	4.632
27282	4.56
27283	4.6080003
27284	4.584
27288	4.5360003
27291	4.512
27292	4.632
27295	4.632
27298	4.6080003
27299	4.632
27301	4.584
27302	4.584
43529	4.0559998
43531	4.0559998
43532	4.0559998
43533	4.0559998
43534	4.0559998
43535	4.0559998
43536	4.0559998
43537	4.0559998
43540	4.032
43541	4.0559998
43542	4.0559998
43543	4.0559998
43545	4.032
43547	4.0559998
43548	4.0559998
43549	4.0559998
43551	4.032
43553	4.0559998
43554	4.0559998
43555	4.0559998
43556	4.032
43557	4.0559998
43558	4.008
43560	4.008
43565	4.0559998
43566	4.032
43567	4.0559998
84401	4.704
73145	4.752
73149	4.896
71960	4.584
73150	4.848
73151	4.824
71961	4.584
84403	4.7279997
71962	4.6559997
71964	4.584
73159	4.896
71965	4.56
71968	4.584
71969	4.584
71970	4.584
71971	4.5360003
71972	4.584
73160	4.872
71973	4.56
71998	4.6559997
71999	4.6559997
84404	4.752
72001	4.584
73162	4.896
94508	5.16
94509	5.016
94510	5.088
94511	5.184
94512	5.2320004
94513	5.2320004
94514	5.2320004
94515	5.04
94516	5.088
94517	5.256
94518	5.184
94519	5.16
94520	5.184
94521	5.184
94523	5.16
94525	5.064
94526	5.184
94528	5.16
94530	4.8
94531	5.256
94533	5.208
94534	5.136
94535	5.2320004
94536	5.064
94538	5.184
94539	5.184
94541	5.04
48819	3.96
39571	4.92
42461	4.3919997
39572	4.896
42462	4.416
42463	4.416
48820	3.912
42464	4.3919997
48821	3.96
48822	3.936
39573	4.848
42501	4.296
39574	4.872
48823	3.936
48825	3.936
39576	4.992
42503	4.32
42516	4.32
42518	4.2720003
48827	3.936
42519	4.296
39577	4.872
48829	3.912
42528	4.32
42533	4.296
48831	3.96
48832	3.96
39581	5.04
48834	3.936
42539	4.296
42541	4.32
48835	3.936
48836	3.936
42544	4.368
42553	4.32
42565	4.296
95916	4.968
95917	5.016
95918	5.04
95919	4.992
95920	5.04
95922	4.92
95923	5.064
95925	4.992
95926	4.968
95928	4.968
95930	5.016
95932	5.064
95934	5.04
95935	4.968
95936	5.016
95937	5.16
95938	4.992
95939	5.016
95941	4.9440002
95942	4.992
95943	5.016
95944	5.016
95945	5.016
95946	5.04
95947	4.968
95948	5.04
95949	5.064
95950	5.112
95951	4.968
95953	5.088
95954	4.92
95955	5.064
95956	5.088
95957	5.088
95959	5.016
95960	4.92
95961	5.064
95962	5.016
95963	5.016
95965	5.016
95966	4.992
33605	5.184
37362	4.5360003
33606	5.2320004
37363	4.584
37365	4.44
23085	4.3919997
43777	4.08
43778	4.032
49946	3.7440002
43779	4.0559998
23086	4.416
49947	3.7919998
43780	4.0559998
23089	4.44
43782	4.08
23091	4.416
49948	3.72
23092	4.368
43783	4.08
43786	4.032
49950	3.768
49952	3.768
43787	4.104
53537	4.032
61858	4.152
61859	4.224
61862	4.176
61863	4.248
53538	4.032
53540	3.9840002
61864	4.248
53541	4.08
61865	4.152
53543	4.032
53544	4.032
61866	4.2
53545	4.032
61870	4.224
61871	4.224
61872	4.248
61873	4.224
61874	4.224
61875	4.248
53546	4.0559998
61876	4.224
61877	4.248
61878	4.2
61880	4.248
53548	4.0559998
61882	4.224
37714	4.32
37715	4.296
33823	5.2320004
37716	4.416
37719	4.3919997
37721	4.512
37722	4.368
02568	4.176
02571	3.936
02575	4.176
02576	4.0559998
02584	4.2
02601	4.128
02630	4.104
02631	4.0559998
02632	4.104
02633	4.0559998
02635	3.96
02637	4.128
02638	4.104
02639	4.104
02641	4.104
02642	4.104
02643	4.0559998
02644	4.104
02645	4.0559998
02646	4.0559998
02647	3.9840002
02648	4.08
02649	4.032
02650	4.0559998
75161	4.872
75163	4.92
75164	4.872
70503	4.872
80487	4.56
80488	4.3919997
80497	4.968
70506	4.92
80498	4.56
75165	4.9440002
70507	4.896
75166	4.848
75167	4.968
80501	4.632
70508	4.92
75169	4.896
80503	4.488
75172	4.92
75173	4.872
70510	4.968
75180	4.896
70512	4.92
70513	4.9440002
75181	4.896
42055	4.44
42056	4.488
42058	4.44
42060	4.4639997
42061	4.4639997
42064	4.416
48601	3.96
42066	4.488
42069	4.488
48602	3.96
27305	4.5360003
27306	4.6559997
27310	4.56
27311	4.5360003
27312	4.584
27313	4.6080003
27314	4.5360003
27315	4.512
27316	4.6080003
27317	4.584
27320	4.56
27325	4.632
27326	4.512
27330	4.6080003
27332	4.632
27340	4.584
27341	4.632
27343	4.56
27344	4.6080003
27349	4.6080003
27350	4.632
27355	4.6080003
27356	4.6559997
27357	4.584
27358	4.56
27360	4.6080003
27370	4.584
27371	4.6559997
27376	4.6080003
27377	4.584
27379	4.5360003
27401	4.5360003
27403	4.584
27405	4.5360003
27406	4.56
43569	4.0559998
43570	4.0559998
43571	4.0559998
43604	4.0559998
43605	4.008
43606	4.0559998
43607	4.0559998
41274	4.2
41301	4.2
41311	4.2
41314	4.224
41317	4.224
41332	4.224
41339	4.224
41348	4.224
41352	4.2
41360	4.176
41365	4.224
41366	4.224
41367	4.224
41385	4.224
73165	4.752
72002	4.632
73169	4.92
72003	4.7279997
84405	4.68
73170	4.92
73173	4.896
73179	4.92
72004	4.7279997
72005	4.6559997
84414	4.776
72006	4.632
72007	4.6559997
84501	5.04
72010	4.632
84511	5.3519998
72011	4.632
84512	5.568
72012	4.6080003
84513	5.04
73401	4.848
73425	4.92
84515	5.136
84516	5.088
